POWIATY                            POWIATS,Ludność stan                          w dniu 31 XII   Population as of December 31 ogółem          total,na 1 km2     per 1 km2,Małżeń-stwa  Marria-ges,Roz-wody Divorces,Urodzenia żywe        Live births,Zgony ogółem   Total deaths,Przyrost naturalny  Natural increase,Ogólne saldo migracji Total net migration,Przyrost roczny Annual growth,Zgony niemowląt na 1000 urodzeń żywych Infant deaths per 1000 live births
         oleski ,65653,67,4.9,0.9,8.7,10.2,-1.5,-3.9,-3.2,1.7
         opolski ,133217,84,4.5,1.3,8.2,8.6,-0.4,-0.1,-0.6,3.7
         prudnicki ,56828,99,4.5,1.4,8.1,12.8,-4.7,-3.7,-7.5,2.2
         strzelecki ,76079,102,4.9,1.5,9.4,10.2,-0.9,-5.5,-6.1,4.2
         M. Opole ,120146,1244,4.7,2.0,8.1,9.9,-1.8,-2.4,-11.8,4.1
         bieszczadzki ,22204,19,5.4,1.9,9.4,8.6,0.9,-5.3,-2.8,9.6
         brzozowski ,66334,123,5.2,0.9,10.6,9.5,1.1,-3.8,-3.2,4.2
         dębicki ,135165,174,5.5,0.8,9.8,8.1,1.7,-2.4,-0.5,6.0
         jarosławski ,122130,119,5.0,1.1,9.4,9.0,0.3,-2.6,-2.3,2.6
         jasielski ,115388,139,5.1,1.0,9.1,8.9,0.2,-2.5,-2.4,3.8
         kolbuszowski ,62751,81,4.7,0.6,8.9,8.2,0.7,-1.2,-0.1,3.6
         krośnieński ,111883,121,5.1,1.2,10.1,9.2,0.9,-0.3,0.2,5.3
         leski,26783,32,4.8,1.4,9.1,8.8,0.3,-1.6,-1.7,4.1
         leżajski ,69977,120,4.5,0.8,9.9,8.6,1.3,-3.8,-1.8,2.9
         lubaczowski ,57057,44,5.2,1.0,8.9,9.9,-1.1,-3.5,-3.9,5.9
         łańcucki ,79866,177,5.1,0.8,10.9,9.0,1.9,0.5,2.6,5.8
         mielecki ,136403,155,4.7,1.1,9.6,8.3,1.3,-1.7,0.8,3.1
         niżański ,67521,86,4.7,0.9,8.2,9.1,-0.9,-2.2,-2.0,12.7
         przemyski ,74225,61,5.4,0.8,10.5,9.1,1.4,-0.5,2.3,3.8
         przeworski ,79262,114,5.3,1.1,9.3,9.4,-0.1,-1.6,-0.5,5.4
         ropczycko-sędziszowski ,73551,134,5.8,0.5,10.9,8.5,2.4,0.4,2.6,1.3
         rzeszowski ,165835,143,5.2,0.8,10.4,8.7,1.6,4.3,6.5,7.0
         sanocki ,96096,79,5.1,1.3,9.5,8.3,1.3,-3.1,-2.4,3.3
         stalowowolski ,108664,131,4.5,1.3,8.3,8.8,-0.5,-3.6,-4.1,3.3
         strzyżowski ,62095,123,5.0,0.8,9.3,9.4,-0.1,-2.6,-2.7,5.2
         tarnobrzeski ,53918,103,5.0,1.0,8.1,9.3,-1.2,-2.1,-2.1,0.0
         M. Krosno ,47223,1086,4.9,1.9,8.6,8.2,0.5,-3.6,-1.8,7.4
         M. Przemyśl ,63638,1378,4.2,1.8,8.1,10.0,-1.9,-6.1,-9.9,1.9
         M. Rzeszów ,183108,1574,4.7,1.6,10.7,7.7,3.1,2.1,5.9,3.1
         M. Tarnobrzeg ,48217,565,4.8,1.8,6.8,7.9,-1.1,-6.0,-7.0,9.1
         augustowski ,59558,36,4.9,1.5,8.7,11.1,-2.4,-3.0,-5.3,0.0
         białostocki ,144978,49,4.4,1.4,8.8,10.4,-1.6,5.6,4.1,6.3
         bielski ,57599,42,5.1,1.4,8.4,12.6,-4.2,-4.1,-7.9,2.1
         grajewski ,48916,51,4.3,1.3,8.8,9.6,-0.7,-4.1,-6.3,2.3
         hajnowski ,45415,28,4.8,2.1,6.8,15.8,-9.0,-3.6,-12.4,6.5
         kolneński ,39555,42,4.7,1.0,8.6,11.2,-2.6,-6.9,-9.3,0.0
         łomżyński ,51860,38,4.7,0.8,10.2,10.5,-0.3,-3.6,-5.9,9.4
         moniecki ,42077,30,5.2,1.3,8.6,11.6,-3.1,-5.0,-7.3,5.5
         sejneński ,20891,24,4.2,1.3,8.9,11.1,-2.2,-5.7,-3.4,0.0
         siemiatycki ,46938,32,5.0,1.1,6.7,13.1,-6.4,-4.1,-8.9,6.4
         sokólski ,70525,34,4.5,1.2,8.7,11.4,-2.7,-4.8,-8.5,4.9
         suwalski ,35924,27,5.0,1.1,9.9,10.0,-0.1,-2.9,-2.8,5.6
         wysokomazowiecki ,58793,46,5.2,0.9,9.3,11.8,-2.5,-3.4,-6.1,3.7
         zambrowski ,44626,61,5.1,1.4,8.9,9.2,-0.4,-5.8,-6.5,2.5
         M. Białystok ,295282,2891,4.6,2.4,9.4,8.3,1.1,-0.9,1.2,3.6
         M. Łomża ,62711,1920,4.9,2.3,8.5,7.3,1.1,-3.7,-1.6,7.5
         M. Suwałki ,69317,1058,4.8,2.2,9.1,7.9,1.2,-2.2,-1.3,9.5
         bytowski ,78307,36,5.2,1.5,11.8,7.7,4.1,-4.1,-0.3,7.5
         chojnicki ,96213,71,5.0,1.7,10.3,8.0,2.3,-0.9,2.3,5.0
         człuchowski ,57193,36,5.4,1.5,10.6,8.3,2.3,-5.8,-3.6,1.7
         gdański ,105247,133,5.0,1.7,11.7,6.3,5.4,15.5,20.2,4.1
         kartuski ,125076,112,5.6,1.0,14.0,6.3,7.7,8.5,16.1,5.8
         kościerski ,71241,61,4.8,1.1,11.6,8.3,3.3,-1.2,2.8,4.8
         kwidzyński ,83611,100,4.7,1.8,9.8,8.5,1.3,-2.8,-2.1,1.2
         lęborski ,66130,94,4.5,2.0,10.6,8.5,2.1,-2.7,-0.8,1.4
         malborski ,64371,130,4.6,1.8,8.6,10.3,-1.7,-2.3,-5.0,0.0
         nowodworski ,36332,54,4.6,1.3,9.5,10.1,-0.5,-3.4,-3.5,5.8
         pucki ,81597,143,5.0,1.3,11.0,7.5,3.5,6.3,10.6,1.1
         słupski ,97437,42,4.6,1.8,10.0,8.8,1.2,-1.0,0.7,2.0
         starogardzki ,127279,95,4.7,1.7,10.7,8.6,2.1,-1.7,1.4,6.6
         sztumski,42511,58,4.4,1.3,10.9,8.5,2.4,-4.8,-3.4,13.0
         tczewski ,115962,166,4.6,1.5,10.7,9.0,1.6,-2.2,-0.1,8.1
         wejherowski ,205892,160,4.8,1.6,12.8,6.7,6.1,4.3,10.0,4.6
         M. Gdańsk ,461531,1762,4.3,2.0,9.6,10.1,-0.5,2.4,2.4,3.2
         M. Gdynia ,248042,1835,4.2,1.9,8.7,9.8,-1.2,-2.1,-2.8,4.2
         M. Słupsk ,93936,2177,5.0,2.5,8.2,10.4,-2.1,-4.2,-9.6,5.2
         M. Sopot ,37903,2193,4.6,1.9,7.9,12.7,-4.8,-3.0,-8.2,0.0
         będziński ,151170,415,4.2,1.9,8.7,13.2,-4.5,1.7,-3.2,5.3
         bielski ,160405,350,4.7,1.7,10.2,8.6,1.6,5.5,7.3,2.5
         bieruńsko-lędziński,58597,371,5.6,1.3,11.4,7.6,3.7,1.3,6.8,10.6
         cieszyński ,177479,243,5.1,1.9,10.8,9.5,1.4,1.7,2.0,4.2
         częstochowski ,135549,89,4.3,1.4,8.5,11.5,-3.0,3.6,1.1,6.1
         gliwicki ,115254,173,4.8,1.3,10.0,9.3,0.6,-0.3,-0.4,4.4
         kłobucki ,85576,96,4.8,1.2,9.2,11.0,-1.8,0.1,-1.9,2.5
         lubliniecki ,77205,94,4.8,1.3,9.1,9.7,-0.6,-2.6,-1.8,1.4
         mikołowski ,95769,411,5.2,1.5,10.2,8.8,1.5,4.5,5.8,3.1
         myszkowski ,72051,150,4.9,1.6,9.4,11.7,-2.3,2.1,1.2,4.4
         pszczyński ,108910,231,5.8,1.3,12.0,8.3,3.7,-1.1,2.3,6.1
         raciborski ,109564,201,5.0,1.6,8.2,9.9,-1.7,-1.7,-3.3,3.3
         rybnicki ,76915,344,5.6,1.1,11.2,9.3,1.9,0.8,4.2,5.8
         tarnogórski ,138351,215,4.8,1.8,8.7,10.0,-1.3,-1.4,-3.0,1.7
         wodzisławski ,157787,550,5.4,1.8,9.5,10.5,-1.0,-1.6,-3.9,8.6
         zawierciański ,121683,121,4.8,1.9,8.3,13.1,-4.8,-1.5,-5.2,3.0
         żywiecki ,153108,147,5.0,1.3,9.5,10.0,-0.6,0.2,-0.1,5.5
         M. Bielsko-Biała ,173699,1395,4.4,2.4,9.6,9.8,-0.1,-3.8,-3.8,5.4
         M. Bytom ,173439,2498,4.6,2.1,9.3,12.0,-2.8,-5.3,-7.4,6.8
         M. Chorzów ,110761,3332,4.7,1.9,10.1,13.8,-3.7,0.4,-3.7,9.0
         M. Częstochowa ,232318,1455,4.2,2.3,8.0,12.1,-4.1,-5.0,-9.2,5.9
         M. Dąbrowa Górnicza ,123994,657,4.6,2.0,8.0,10.7,-2.6,-2.3,-5.7,5.0
         M. Gliwice ,185450,1385,4.8,1.9,9.0,10.7,-1.7,-2.5,-4.1,4.2
         M. Jastrzębie-Zdrój ,91235,1069,5.2,2.4,9.4,8.6,0.7,-6.8,-5.3,3.5
         M. Jaworzno ,93708,614,5.1,1.9,8.6,11.0,-2.3,-3.1,-6.3,4.9
         M. Katowice ,304362,1849,4.6,2.1,8.6,11.8,-3.2,-4.3,-9.3,8.0
         M. Mysłowice ,75129,1145,4.9,1.6,9.6,9.7,-0.2,-1.6,-2.3,2.8
         M. Piekary Śląskie ,57148,1429,4.8,2.1,9.5,10.4,-0.9,-4.8,-6.2,3.7
         M. Ruda Śląska ,141521,1821,5.1,1.8,10.1,11.2,-1.0,-4.6,-5.8,4.9
         M. Rybnik ,140173,945,5.8,2.1,10.2,9.8,0.4,-4.1,-4.4,1.4
         M. Siemianowice Śląskie ,68844,2700,4.7,2.1,8.5,12.7,-4.2,-5.9,-10.0,10.3
         M. Sosnowiec ,211275,2320,4.4,2.4,7.9,12.9,-5.1,-5.0,-10.5,5.4
         M. Świętochłowice ,51824,3894,3.7,1.9,9.2,12.3,-3.1,-6.9,-10.5,2.1
         M. Tychy ,128799,1574,5.3,2.0,10.2,8.9,1.3,-3.7,-2.4,2.3
         M. Zabrze ,178357,2218,4.6,2.0,8.7,10.0,-1.3,-5.1,-6.1,7.0
         M. Żory ,62038,960,5.2,2.4,10.6,6.5,4.1,-5.1,-0.2,7.6
         buski ,73591,76,4.4,1.2,8.2,12.4,-4.2,-0.9,-4.6,1.7
         jędrzejowski ,87987,70,5.3,1.1,9.2,11.4,-2.2,-1.9,-3.4,4.9
         kazimierski ,34943,83,4.6,0.6,6.8,13.5,-6.7,-2.6,-9.4,8.4
         kielecki ,207588,92,4.8,0.8,10.0,9.7,0.3,2.2,2.4,5.8
         konecki ,83392,73,4.7,0.9,8.4,11.7,-3.3,-3.8,-6.4,1.4
         opatowski ,54656,60,4.2,0.8,8.3,13.5,-5.2,-3.2,-7.7,2.2
         ostrowiecki ,114418,186,4.0,1.2,7.2,11.2,-4.0,-3.0,-6.4,4.8
         pińczowski ,40611,66,4.4,1.0,8.7,14.0,-5.4,-2.6,-7.8,5.7
         sandomierski ,80069,118,4.9,1.1,7.7,11.5,-3.8,-2.7,-6.2,4.9
         skarżyski ,78072,197,4.8,1.5,7.3,12.0,-4.7,-3.7,-7.2,3.5
         starachowicki ,93216,178,4.4,1.2,8.2,11.3,-3.2,-2.9,-6.3,3.9
         staszowski ,73505,79,5.2,1.0,8.6,10.8,-2.2,-3.1,-4.8,6.3
         włoszczowski ,46321,51,4.8,0.6,8.6,12.1,-3.5,-2.4,-4.3,7.5
         M. Kielce ,199870,1823,4.3,1.5,8.4,9.7,-1.3,-4.4,-5.3,5.9
         bartoszycki ,60205,46,4.3,1.6,8.4,11.5,-3.0,-6.1,-8.1,3.9
         braniewski ,42740,36,4.6,1.9,10.2,10.2,-0.1,-8.2,-6.6,6.9
         działdowski ,66485,70,5.0,1.1,10.9,9.8,1.1,-3.8,-3.4,6.9
         elbląski ,58260,41,4.0,1.7,10.5,9.6,1.0,-2.6,-2.4,14.7
         ełcki ,89477,80,4.5,2.3,8.8,8.6,0.2,0.9,2.2,10.2
         giżycki ,57616,51,4.7,2.4,8.6,9.4,-0.8,-1.6,-2.6,14.1
         gołdapski,27460,36,4.3,1.6,10.9,9.8,1.1,-4.1,-2.0,3.3
         iławski ,93134,67,5.0,2.1,10.0,8.8,1.2,-2.7,-0.7,7.5
         kętrzyński ,65509,54,4.4,1.8,8.7,11.5,-2.8,-6.6,-9.1,3.5
         lidzbarski ,42582,46,4.7,2.1,8.7,11.3,-2.6,-4.0,-8.9,2.7
         mrągowski ,51069,48,4.9,1.6,8.3,9.2,-0.8,-4.4,-4.8,7.0
         nidzicki ,33903,35,4.3,1.6,9.4,10.5,-1.1,-4.5,-6.7,0.0
         nowomiejski ,44265,64,5.4,1.5,11.3,9.2,2.1,-2.6,-0.2,4.0
         olecki,34887,40,4.3,2.2,10.9,9.4,1.5,-3.8,-2.1,18.4
         olsztyński ,122483,43,4.4,1.7,10.0,8.7,1.4,4.4,6.4,4.1
         ostródzki ,106727,60,4.7,2.0,10.0,10.2,-0.2,-3.9,-4.2,3.7
         piski ,57819,33,4.4,1.5,8.9,9.5,-0.6,-4.4,-4.6,5.8
         szczycieński ,71027,37,4.7,1.5,9.3,9.6,-0.3,-3.2,-4.0,1.5
         węgorzewski,23693,34,4.9,1.5,9.5,9.1,0.5,-4.8,-3.0,4.4
         M. Elbląg ,122899,1540,4.5,2.5,7.6,10.6,-2.9,-3.0,-6.1,5.3
         M. Olsztyn ,174675,1978,4.1,2.3,9.3,8.5,0.8,-0.6,0.2,2.5
         chodzieski ,47639,70,4.5,1.6,9.5,9.7,-0.3,-2.9,-3.7,8.8
         czarnkowsko-trzcianecki ,88081,49,4.9,1.5,10.0,9.7,0.3,-2.4,-1.0,4.5
         gnieźnieński ,144955,115,4.8,1.6,11.0,9.0,2.0,-0.1,2.0,2.5
         gostyński ,76239,94,5.4,1.4,10.8,9.8,1.1,-2.3,-0.2,6.1
         grodziski ,50971,79,5.6,1.2,12.0,8.7,3.3,-1.6,2.1,0.0
         jarociński ,71632,122,5.5,1.9,11.0,9.3,1.8,-1.4,-0.2,5.1
         kaliski ,82585,71,4.8,1.1,10.8,10.2,0.5,1.3,1.8,5.6
         kępiński ,56392,93,5.8,1.5,10.7,9.1,1.6,-2.0,-1.1,6.6
         kolski ,89077,88,4.9,1.4,9.6,10.7,-1.1,-3.1,-3.0,3.5
         koniński ,128698,82,4.9,1.2,10.4,8.9,1.5,1.2,3.6,4.5
         kościański ,78981,109,4.6,1.4,10.4,9.3,1.0,-0.9,1.8,9.8
         krotoszyński ,77958,109,5.1,1.6,11.3,9.6,1.7,-2.5,-2.3,6.8
         leszczyński ,54039,67,5.0,1.0,11.1,7.7,3.4,6.1,10.6,5.0
         międzychodzki ,37094,50,5.3,1.6,11.0,9.9,1.1,-1.8,-0.4,2.5
         nowotomyski ,74336,73,5.6,1.4,11.9,8.8,3.1,0.3,4.1,7.9
         obornicki ,59101,83,4.0,1.6,11.1,8.9,2.2,-0.4,1.4,3.1
         ostrowski ,161216,139,5.0,2.0,10.2,9.3,0.9,-0.7,0.9,3.7
         ostrzeszowski ,55454,72,5.0,1.5,10.3,10.0,0.3,-0.5,1.4,10.5
         pilski ,138218,109,4.7,1.9,9.8,8.8,0.9,-2.2,-1.4,4.4
         pleszewski ,63296,89,5.5,1.4,9.4,10.4,-0.9,-0.6,-0.9,6.7
         poznański ,352395,185,4.4,1.8,11.8,7.1,4.7,17.3,22.2,2.4
         rawicki ,60393,109,5.4,1.2,11.1,8.9,2.1,-1.8,-0.5,1.5
         słupecki ,59651,71,5.0,1.6,9.7,9.5,0.2,-2.4,-1.7,1.7
         szamotulski ,89608,80,5.2,1.4,10.5,8.7,1.8,2.2,3.3,5.3
         średzki  ,56925,91,5.3,1.5,11.8,9.3,2.5,0.6,4.8,4.5
         śremski,60725,106,5.1,1.8,11.0,9.1,1.9,-1.0,-1.1,6.0
         turecki ,84420,91,5.2,1.1,10.5,9.5,1.0,-2.5,-2.5,3.4
         wągrowiecki ,69837,67,5.1,1.4,11.3,9.5,1.8,-0.8,0.9,5.1
         wolsztyński ,56780,84,4.9,1.1,12.1,8.6,3.4,-1.5,1.5,4.4
         wrzesiński ,76481,109,4.9,1.1,9.9,9.5,0.4,-0.5,0.4,2.7
         złotowski ,70001,42,4.9,1.5,10.3,9.5,0.8,-4.3,-3.9,6.9
         M. Kalisz ,103997,1498,4.1,2.4,8.7,11.5,-2.8,-3.5,-6.5,4.4
         M. Konin ,77224,939,4.9,2.4,7.9,8.9,-1.0,-7.4,-8.0,1.6
         M. Leszno ,64589,2027,4.7,2.1,10.0,8.0,2.1,-3.8,-2.1,1.5
         M. Poznań ,548028,2092,4.4,2.1,10.3,10.5,-0.2,-4.7,-4.9,4.9
         białogardzki ,48899,58,4.4,1.9,9.0,10.5,-1.5,-5.2,-5.8,2.3
         choszczeński ,49929,38,4.8,1.3,9.8,10.2,-0.5,-4.2,-4.6,2.0
         drawski ,58403,33,4.2,2.3,9.8,10.6,-0.8,-5.5,-5.5,0.0
         goleniowski ,82270,51,5.1,1.7,9.9,9.1,0.8,1.8,2.5,7.3
         gryficki ,61672,61,4.7,1.6,9.7,10.3,-0.6,-1.5,-2.0,5.0
         gryfiński ,83880,45,4.6,1.4,10.2,10.7,-0.5,-1.6,-2.7,2.3
         kamieński ,47947,48,4.5,1.8,8.2,10.2,-2.0,-3.0,-3.8,0.0
         kołobrzeski ,79624,110,4.6,2.2,8.4,9.0,-0.6,1.2,-0.1,3.0
         koszaliński ,65981,40,4.8,2.1,9.3,8.8,0.5,1.1,2.6,8.1
         łobeski,37966,36,5.1,1.2,9.5,11.3,-1.9,-5.1,-6.4,8.3
         myśliborski ,67698,57,4.6,1.7,9.6,10.7,-1.1,-2.6,-2.2,9.2
         policki ,74483,112,4.2,2.0,10.5,6.3,4.2,11.7,15.7,5.2
         pyrzycki ,40532,56,4.5,1.6,9.7,9.9,-0.1,-2.0,-3.1,10.1
         sławieński ,57855,55,4.7,1.7,9.8,9.8,-0.1,-2.4,-1.8,3.5
         stargardzki ,120726,79,4.8,1.7,9.4,9.1,0.3,-1.4,-1.6,0.9
         szczecinecki ,79104,45,4.9,2.0,8.6,9.4,-0.8,-3.3,-3.2,7.4
         świdwiński ,48582,44,4.8,1.7,9.2,11.1,-1.9,-4.5,-6.5,4.5
         wałecki ,54597,39,4.7,2.4,8.8,10.1,-1.3,-3.0,-4.5,6.3
         M. Koszalin ,109170,1110,4.2,2.3,7.8,9.5,-1.7,0.8,-1.6,3.5
         M. Szczecin ,408172,1358,4.1,2.1,8.2,10.4,-2.2,0.4,-1.8,6.5
         M. Świnoujście ,41371,210,4.0,2.1,6.4,10.5,-4.1,2.2,-3.3,7.5
